Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 152
1916.59
1916.8
1916.96
1916.39
1916.37
1916.83
1916.68
1916.85
1916.8
1916.57
