Striped coloring (storing nothing),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 152
1916.27
1916.41
1916.15
1916.41
1916.47
1916.29
1916.42
1916.41
1916.49
1916.24
