Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 25
13.8091
13.7974
13.7943
13.8056
13.7964
13.8168
13.7974
13.7923
13.8056
13.7892
