Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 45
15.288
15.2033
15.191
15.1982
15.1931
15.2013
15.1798
15.2115
15.1962
15.2033
