Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
6.02208
6.00678
5.99142
5.96582
5.99859
6.00678
5.98221
6.00678
6.00678
6.00064
