Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 83
11.6276
11.7207
11.733
11.7207
11.7207
11.7156
11.734
11.7156
11.7053
11.7248
