Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 91
683.844
683.192
683.335
683.388
683.299
683.424
683.474
683.326
683.304
683.323
