Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 48
129.09
129.039
129.041
129.062
128.997
129.118
129.005
129.036
129.109
129.025
