Striped coloring (storing nothing),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 78
9474.22
9484.04
9482.61
9492.1
9466.47
9464.83
9476.5
9483.36
9480.7
9494.48
