Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 45
698.242
698.355
697.998
697.75
698.046
698.201
698.194
698.251
698.169
698.3
