Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78
119.591
159.399
176.516
129.631
157.113
175.838
182.163
158.478
189.333
161.291
