Striped coloring (storing nothing),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 152
55604.1
55560.8
55565.3
55560.5
55546.6
55565.5
55553.2
55563.5
55544.1
55552.6
