Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 48
24.7655
24.7796
24.71
24.6761
24.6424
24.6376
24.6184
24.6507
24.6199
24.7235
