Striped coloring (pre-computing COR Format),A100,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54
140.373
143.066
140.718
140.52
140.774
140.684
140.873
143.172
140.705
140.746
