Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 174
65.4028
65.2677
65.2841
65.2667
65.2534
65.2493
65.2462
65.2206
65.2001
65.2544
