Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 26
54.0144
54.3988
53.557
53.4586
53.5009
53.4822
53.5408
53.4773
53.3569
53.4815
