Striped coloring (pre-computing COR Format),A100,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152
892.026
814.41
813.21
814.987
816.195
817.521
817.172
818.117
818.149
818.183
