Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 26
1.88422
1.88006
1.87494
1.88006
1.87187
1.87494
1.88928
1.88621
1.88211
1.88006
