Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 26
9.3664
9.31478
9.32266
9.28656
9.29824
9.30691
9.31274
9.27046
9.32445
9.34736
