Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 25
9.30288
9.29709
9.26957
9.32144
9.31654
9.27622
9.3175
9.33667
9.34227
9.31744
