Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 83
1035.29
1035.44
1035.33
1035
1035.37
1035.25
1035.07
1035.32
1035.44
1035.33
