Striped coloring (pre-computing COR Format),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41
24.892
25.3487
25.0503
25.2835
25.0095
25.2652
25.0375
24.8041
25.0448
24.9237
