Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 44
24.6318
24.6701
24.6411
24.6588
24.6156
24.6336
24.6448
24.606
24.6643
24.6246
