Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 41
24.756
24.7526
24.6595
24.5885
24.6229
24.6145
24.576
24.5786
24.6105
24.6037
