Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
9.61344
9.60688
9.5951
9.60278
9.60534
9.61187
9.57446
9.58496
9.61152
9.58861
