Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 177
7887
7878.29
7878.1
7878.37
7878.45
7878.37
7879.29
7879.31
7878.98
7879.31
