Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 48
2.46822
2.42483
2.43098
2.42688
2.43302
2.42278
2.42381
2.42688
2.42176
2.43098
