Striped coloring (storing nothing),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 41
54.1269
53.8685
53.8583
53.889
53.8378
53.8829
53.8481
53.9064
53.8696
53.8829
