Striped coloring (storing nothing),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 41
24.6292
24.595
24.6204
24.6191
24.6272
24.6081
24.6197
24.6105
24.6215
24.6199
