Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,64,27725560,CG,vanilla_version_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65
5517.03
5515.12
5555.32
6301.72
7438.43
7582.96
7646.72
7482.02
7499.45
7447.44
