Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
9.32419
9.32726
9.30966
9.27469
9.33846
9.32253
9.28598
9.2896
9.31027
9.31267
