Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 88
143.589
143.646
143.659
143.671
143.662
143.644
143.678
143.681
143.645
143.649
