Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 152
35030.1
35048.4
35035.3
35045.1
35033.3
35032.1
35023.6
35044
35035.5
35030.7
