Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78
152.292
155.831
167.42
160.128
156.853
160.889
155.963
159.722
177.791
164.217
