Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 174
1916.4
1916.44
1916.33
1916.22
1916.37
1916.12
1916.12
1916.1
1916.27
1916.25
