Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78
343.455
352.46
330.76
350.165
353.52
333.643
341.087
332.73
330.777
348.859
