Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 45
24.7073
24.6799
24.6692
24.6452
24.6272
24.6759
24.6785
24.6534
24.6891
24.6378
