Striped coloring (pre-computing COR Format),A100,3d_27pt,128,64,64,13790200,CG,vanilla_version_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54
3146.89
3150.88
3152.87
3158.15
3154.34
3274.75
3154.51
3152.6
3157.44
3157.03
