Striped coloring (pre-computing COR Format),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152
57634.6
54651.9
54648
54617.5
54565.9
54565.3
54567.8
54558.5
54563.2
54560
