Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 41
1672.98
1651.06
1650.26
1650.75
1651.43
1651.1
1650.16
1650.89
1650.6
1651.41
