Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 44
6.7009
6.66726
6.64781
6.66112
6.65395
6.64678
6.66317
6.66726
6.6519
6.68877
