Striped coloring (storing nothing),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 41
2231.08
2226.95
2226.35
2226.6
2225.51
2225.96
2225.94
2225.81
2226.15
2226.95
