Striped Box coloring (coloringBox 3x3x3),A100,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 44
305.298
305.165
305.245
305.334
305.314
305.362
305.11
305.238
305.217
305.176
