Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 88
20.0042
20.1667
20.1626
20.1687
20.182
20.1492
20.183
20.1626
20.1513
20.1646
