Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65
82.1896
81.9662
82.7126
110.236
92.2951
105.844
98.2812
97.7208
110.139
100.756
