Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 174
12179
12177.8
12178.7
12177.4
12176.9
12175.4
12174.8
12176
12175.6
12177.1
