Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 78
86.6774
86.7707
86.8168
86.8424
86.7768
86.7717
86.869
86.8321
86.7676
86.8618
