Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 78
143.332
143.396
143.324
143.28
143.258
143.311
143.282
143.256
143.226
143.322
