Striped coloring (pre-computing COR Format),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41
46.3377
46.8026
46.4198
46.7689
46.4428
46.735
46.5242
47.0628
46.4366
46.3816
