Striped Box coloring (coloringBox 4x4x4),A100,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 88
1838.59
1839.09
1838.94
1839.7
1839.15
1840.13
1839.35
1839.07
1839.44
1839.2
