Striped coloring (pre-computing COR Format),A100,3d_27pt,128,128,64,27725560,MG,vanilla_version_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65_normi/norm0: 0.348167_CG iterations: 65
84.3366
84.3804
85.6467
119.742
112.033
120.976
106.362
105.358
124.375
120.756
