Striped Box coloring (coloringBox 2x2x2),A100,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 177
1916.23
1916.24
1916
1916.3
1916.14
1916.06
1916.48
1916.03
1916.32
1916.31
