Striped coloring (COR Format already stored on the GPU),A100,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 41
39.714
39.5889
39.5551
39.5561
39.5571
39.5131
39.5602
39.4783
39.5182
39.5694
