Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.0538694
2.6519
2.65562
2.6407
2.63392
2.64371
2.64138
2.63651
2.66426
2.64294
2.63174
