Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,CG,vanilla_version_RR Norm: 0.238672
504.485
493.595
493.864
493.88
493.485
493.405
493.387
493.376
493.847
493.973
