Striped Warp Reduction,41-44,3d_27pt,64,64,64,6859000,MG,vanilla_version_RR Norm: 0.0523895
1462.85
1459.97
1459.86
1460
1460.14
1460.01
1459.97
1460
1459.97
1460.06
