Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.108911
1.6241
1.61952
1.61926
1.61443
1.62253
1.65024
1.61638
1.6239
1.61213
1.62781
