Striped coloring (storing nothing),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
3.96605
3.9497
3.93414
3.94099
3.93142
3.90755
3.9367
3.93306
3.92544
3.93795
