Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,SymGS,vanilla_version_RR Norm: 0.209858
4.04592
4.03555
4.01741
4.02851
4.00528
3.99293
3.9953
3.99395
3.98915
3.99645
