Striped Warp Reduction,41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.0523895
0.695232
0.68144
0.683488
0.679648
0.708384
0.704192
0.686432
0.698784
0.685408
0.678272
