Striped Warp Reduction,41-44,3d_27pt,16,16,16,97336,CG_noPreconditioning,vanilla_version_RR Norm: 0.0897764
0.093472
0.082688
0.078496
0.078976
0.077376
0.077152
0.076032
0.075424
0.076672
0.076864
