Striped coloring (storing nothing),41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.32102
1.2335
1.2217
1.25882
1.21885
1.21718
1.28835
1.30144
1.31712
1.3159
