Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
11.5064
11.4583
11.4932
11.4637
11.4558
11.4975
11.4709
11.5119
11.4892
11.4901
