Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
47.5515
47.5546
47.5699
47.5935
47.5372
47.5986
47.4962
47.5279
47.5904
47.6221
